Name,Level,Cost gold-coin-icon,Damage,Re-Arm Cost gold-coin-icon,Build Time,Town hall Level Required,Damage per Second,Damage per Shot,Hitpoints,Push Strength,Research Cost elixir-icon,Laboratory Level,Research time,Available at,Damage per Hit,Cost dark-elixir-icon,Regen Time,Ability Level,Cost elixir-icon,Troop Capacity,Damage per Attack,Unit Queue Length,Unlocks,Damage Upon Death,Bats Generated,Spell Duration,Research Cost dark-elixir-icon,Spell Capacity,Cloned Troop Space,Production Rate dark-elixir-icon,Capacity dark-elixir-icon,Storage Capacity dark-elixir-icon,Load Cost elixir-icon,Production Rate elixir-icon,Capacity elixir-icon,Storage Capacity elixir-icon,Freeze time,Damage Radius,Number of Targets,Production Rate gold-coin-icon,Capacity gold-coin-icon,Storage Capacity gold-coin-icon,Speed Increase,Healing per Second,Healing per Pulse,Healing per Second on Heroes,Total Healing,Freeze Upon Death,Load Cost dark-elixir-icon,Multiple Mode,Lava Pups Spawned,Maximum Damage per Second,Speed Decrease,Attack Rate Decrease,Damage Increase,Skeletons Generated,Spawned Units,Spring Capacity,Cumulative Cost,Damage Against Walls,Skeletons Summoned
Balloon,10,,,,,,276,,1040,,18000000,12,18 days, townhall townhall14,,,,,,,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,10,,,,,,42,,250,,14000000,12,13 days, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian_King,76,,,,8 days, townhall townhall14,559,,10490,,,,,,670.8,305000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian_King,77,,,,8 days, townhall townhall14,568,,10680,,,,,,681.6,310000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian_King,78,,,,8 days, townhall townhall14,577,,10870,,,,,,692.4,315000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian_King,79,,,,8 days, townhall townhall14,586,,11060,,,,,,703.2,320000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian_King,80,,,,8 days, townhall townhall14,595,,11250,,,,,,714.0,325000.0,42m,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack,16,,,,16 days, townhall townhall14,,,1250,,,,,,,,,,15000000.0,,,105.0,Electro Titan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle_Builder_Hut,2,9500000,,,10 days, townhall townhall14,80,80.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle_Builder_Hut,3,12500000,,,12 days, townhall townhall14,100,100.0,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle_Builder_Hut,4,15500000,,,14 days, townhall townhall14,120,120.0,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomb,10,5500000,140,500.0,7 days 12 hours, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomb_Tower,9,17500000,,,17 days, townhall townhall14,84,92.4,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowler,6,,,,,,102,,500,,,12,17 days 12 hours, townhall townhall14,,,,,,,153.0,,,,,,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon,20,16500000,,,17 days, townhall townhall14,154,123.2,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan_Castle,10,18000000,,,19 days, townhall townhall14,,,5200,,,,,,,,,,,45.0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clone_Spell,7,,,,,,,,,,16500000,12,16 days 12 hours, townhall townhall14,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark_Elixir_Storage,9,,,,14 days 6 hours, townhall townhall14,,,4100,,,,,,,,,,11500000.0,,,,,,,,,,,,,330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon,9,,,,,,350,,4500,,18500000,12,18 days, townhall townhall14,,,,,,,437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon_Rider,3,,,,,,400,,4700,,17500000,12,17 days, townhall townhall14,,,,,,,480.0,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle_Artillery,5,20000000,,,20 days, townhall townhall14,150,,5600,,,,,,500.0,,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Dragon,5,,,,,,360,,4800,,18000000,12,17 days, townhall townhall14,,,,,,,1260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,1,,,,,,100,,1600,,,,-, townhall townhall14,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,2,,,,,,105,,1700,,,,3 days, townhall townhall14,,,,,,,,,,,,,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,3,,,,,,110,,1800,,,,4 days, townhall townhall14,,,,,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,4,,,,,,115,,1900,,,,5 days, townhall townhall14,,,,,,,,,,,,,165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,5,,,,,,120,,2000,,,,5 days 12 hours, townhall townhall14,,,,,,,,,,,,,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,6,,,,,,125,,2100,,,,6 days, townhall townhall14,,,,,,,,,,,,,195000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,7,,,,,,130,,2200,,,,6 days 12 hours, townhall townhall14,,,,,,,,,,,,,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,8,,,,,,135,,2300,,,,7 days, townhall townhall14,,,,,,,,,,,,,225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,9,,,,,,140,,2400,,,,7 days 12 hours, townhall townhall14,,,,,,,,,,,,,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Owl,10,,,,,,145,,2500,,,,8 days, townhall townhall14,,,,,,,,,,,,,255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro_Titan,3,,,,,,220,,8200,,20500000,13,17 days, townhall townhall14,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir_Storage,15,5500000,,,11 days 6 hours, townhall townhall14,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giant_Bomb,8,9000000,400,8000.0,11 days, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 tiles,,,,,,,,,,,,,,,,,,,,,,,
Giga_Inferno,1,0,,,0 seconds, townhall townhall14,300,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Giga_Inferno,2,10000000,,,4 days 12 hours, townhall townhall14,300,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Giga_Inferno,3,12000000,,,6 days, townhall townhall14,300,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Giga_Inferno,4,15000000,,,6 days 12 hours, townhall townhall14,300,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Giga_Inferno,5,18000000,,,8 days 6 hours, townhall townhall14,300,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Gold_Storage,15,,,,11 days 6 hours, townhall townhall14,,,3700,,,,,,,,,,5500000.0,,,,,,,,,,,,,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,
Golem,11,,,,,,85,,8400,,,12,16 days, townhall townhall14,,,,,,,204.0,,,850.0,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand_Warden,51,,,,8 days, townhall townhall14,303,,2460,,,,,,545.4,,40m,10,17000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand_Warden,52,,,,8 days, townhall townhall14,307,,2480,,,,,,552.6,,40m,10,17500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand_Warden,53,,,,8 days, townhall townhall14,311,,2250,,,,,,559.8,,40m,10,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand_Warden,54,,,,8 days, townhall townhall14,315,,2520,,,,,,567.0,,40m,10,18500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand_Warden,55,,,,8 days, townhall townhall14,319,,2540,,,,,,574.2,,42m,11,19000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healer,7,,,,,,,,1700,,17000000,12,17 days, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,50.4,62.0,,,,,,,,,,,,,,,
Hidden_Tesla,13,18000000,,,18 days, townhall townhall14,150,90.0,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hog_Rider,11,,,,,,187,,1080,,,12,17 days, townhall townhall14,,,,,,,,,,,,,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice_Golem,6,,,,,,44,,3600,,,12,17 days, townhall townhall14,,,,,,,88.0,,,,,,320000,,,,,,,,,,,,,,,,,,,,,7.5 Seconds,,,,,,,,,,,,,
L,1,,,,,,150,,2700,,,,-, townhall townhall14,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,2,,,,,,160,,2800,,,,3 days, townhall townhall14,,,,,,,,,,,,,115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,3,,,,,,170,,2900,,,,4 days, townhall townhall14,,,,,,,,,,,,,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,4,,,,,,180,,3000,,,,5 days, townhall townhall14,,,,,,,,,,,,,145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,5,,,,,,190,,3100,,,,5 days 12 hours, townhall townhall14,,,,,,,,,,,,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,6,,,,,,200,,3200,,,,6 days, townhall townhall14,,,,,,,,,,,,,175000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,7,,,,,,210,,3300,,,,6 days 12 hours, townhall townhall14,,,,,,,,,,,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,8,,,,,,220,,3400,,,,7 days, townhall townhall14,,,,,,,,,,,,,205000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,9,,,,,,230,,3500,,,,7 days 12 hours, townhall townhall14,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,10,,,,,,240,,3600,,,,8 days, townhall townhall14,,,,,,,,,,,,,235000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory,12,,,,11 days 12 hours, townhall townhall14,,,1280,,,,,,,,,,11500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,1,,,,,,60,,3750,,,,-, townhall townhall14,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,2,,,,,,64,,4000,,,,3 days, townhall townhall14,,,,,,,,,,,,,165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,3,,,,,,68,,4250,,,,4 days, townhall townhall14,,,,,,,,,,,,,185000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,4,,,,,,72,,4500,,,,5 days, townhall townhall14,,,,,,,,,,,,,205000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,5,,,,,,76,,4750,,,,5 days 12 hours, townhall townhall14,,,,,,,,,,,,,225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,6,,,,,,80,,4950,,,,6 days, townhall townhall14,,,,,,,,,,,,,245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,7,,,,,,84,,5100,,,,6 days 12 hours, townhall townhall14,,,,,,,,,,,,,255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,8,,,,,,88,,5250,,,,7 days, townhall townhall14,,,,,,,,,,,,,265000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,9,,,,,,92,,5400,,,,7 days 12 hours, townhall townhall14,,,,,,,,,,,,,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty_Yak,10,,,,,,96,,5550,,,,8 days, townhall townhall14,,,,,,,,,,,,,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miner,8,,,,,,136,,1100,,16500000,12,16 days, townhall townhall14,,,,,,,231.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minion,10,,,,,,70,,108,,,12,15 days 12 hours, townhall townhall14,,,,,,,,,,,,,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortar,14,16500000,,,17 days, townhall townhall14,48,240.0,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet_House,1,,,,12 days 6 hours, townhall townhall14,,,700,,,,,,,,,,14000000.0,,,,L.A.S.S.I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet_House,2,,,,14 days 6 hours, townhall townhall14,,,800,,,,,,,,,,16500000.0,,,,Electro Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet_House,3,,,,16 days, townhall townhall14,,,900,,,,,,,,,,18500000.0,,,,Mighty Yak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet_House,4,,,,18 days, townhall townhall14,,,1000,,,,,,,,,,19500000.0,,,,Unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poison_Spell,8,,,,,,,,,,,12,16 days 18 hours, townhall townhall14,,,,,,,,,,,,,285000,,,,,,,,,,,,,,,,,,,,,,,,,300.0,46%,68%,,,,,,,
Royal_Champion,26,,,,8 days, townhall townhall14,560,,4140,,,,,,672.0,300000.0,40m,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal_Champion,27,,,,8 days, townhall townhall14,565,,4180,,,,,,678.0,305000.0,40m,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal_Champion,28,,,,8 days, townhall townhall14,570,,4220,,,,,,684.0,310000.0,40m,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal_Champion,29,,,,8 days, townhall townhall14,575,,4260,,,,,,690.0,315000.0,40m,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal_Champion,30,,,,8 days, townhall townhall14,580,,4300,,,,,,696.0,320000.0,42m,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scattershot,3,19000000,,,19 days, townhall townhall14,190,613.32,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,1,0,,,Instant,,0,0.0,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,2,1000,,,1 minute,,0,0.0,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,3,4000,,,0 days 2 hours,,0,0.0,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,4,25000,,,0 days 3 hours,,0,0.0,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,5,150000,,,0 days 6 hours,,0,0.0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,6,750000,,,0 days 12 hours,,0,0.0,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,7,1000000,,,0 days 18 hours,,0,0.0,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,8,2000000,,,1 day,,0,0.0,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,9,3000000,,,2 days,,0,0.0,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,10,3500000,,,3 days,,0,0.0,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,11,4000000,,,4 days,,0,0.0,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,12,6000000,,,6 days,,120,60.0,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,13,9000000,,,10 days,,120,60.0,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,14,15000000,,,14 days,,120,60.0,8900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town_Hall,15,18000000,,,15 days,,120,60.0,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicorn,1,,,,,,,,1400,,,,-, townhall townhall14,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
Unicorn,2,,,,,,,,1450,,,,3 days, townhall townhall14,,,,,,,,,,,,,210000,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
Unicorn,3,,,,,,,,1500,,,,4 days, townhall townhall14,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,
Unicorn,4,,,,,,,,1550,,,,5 days, townhall townhall14,,,,,,,,,,,,,230000,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
Unicorn,5,,,,,,,,1600,,,,5 days 12 hours, townhall townhall14,,,,,,,,,,,,,240000,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,
Unicorn,6,,,,,,,,1675,,,,6 days, townhall townhall14,,,,,,,,,,,,,250000,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,
Unicorn,7,,,,,,,,1725,,,,6 days 12 hours, townhall townhall14,,,,,,,,,,,,,260000,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
Unicorn,8,,,,,,,,1800,,,,7 days, townhall townhall14,,,,,,,,,,,,,270000,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,
Unicorn,9,,,,,,,,1875,,,,7 days 12 hours, townhall townhall14,,,,,,,,,,,,,280000,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,
Unicorn,10,,,,,,,,1950,,,,8 days, townhall townhall14,,,,,,,,,,,,,290000,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,
Valkyrie,9,,,,,,208,,1850,,,12,17 days, townhall townhall14,,,,,,,374.4,,,,,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall,15,7000000 gold-coin-icon,,,, townhall townhall14,,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14991050.0,,
Wall_Breaker,10,,,,,,94,,130,,15200000,12,15 days, townhall townhall14,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760.0,
Wizard_Tower,14,17200000,,,17 days, townhall townhall14,90,117.0,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workshop,6,,,,17 days, townhall townhall14,,,1500,,,,,,,,,,16500000.0,,,20.0,Flame Flinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Bow,9,17400000,,,18 days, townhall townhall14,200,25.6,4500,,,,,,,,,,,,,,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,4,,,,,,290,,3700,,18000000,12,18 days, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
